_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3186621,0033E00040000000,"435 BON AIR AVE, PITTSBURGH, PA 15210",435, ,,BON AIR,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,6/25/2024,4/4/2024,1,19716,132,3,LOVE AND AFFECTION SALE,DE,DEED,40.41055,-79.99815,Bon Air
3186622,0129A00136000000,"1235 PARKVIEW BLVD, PITTSBURGH, PA 15217",1235, ,,PARKVIEW,BLVD,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,7/1/2024,6/21/2024,1800000,19721,211,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.421293,-79.913115,Squirrel Hill South
3186623,0001H00217000000,"4 MARKET SQ, PITTSBURGH, PA 15222",4, ,,MARKET,SQ,,,PITTSBURGH,PA,15222,47,Pittsburgh,101,1st Ward  - PITTSBURGH,6/28/2024,5/22/2024,1,19720,224,3,LOVE AND AFFECTION SALE,DE,DEED,40.44019,-80.002426,Central Business District
3186625,0015L00231000000,"508 GEARING AVE, PITTSBURGH, PA 15210",508, ,,GEARING,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,7/8/2024,7/3/2024,170000,19727,408,H,MULTI-PARCEL SALE,DE,DEED,40.417845,-80.005391,Beltzhoover
3186624,0020L00043000000,"0 LAKEWOOD ST, PITTSBURGH, PA 15220",0, ,,LAKEWOOD,ST,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,7/8/2024,6/25/2024,50000,19727,386,1,SHERIFF SALE,SD,SHERIFF DEED,40.447948,-80.041219,Elliott
3186627,0015L00232000100,"0 GEARING AVE, PITTSBURGH, PA 15210",0, ,,GEARING,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,7/8/2024,7/3/2024,170000,19727,408,H,MULTI-PARCEL SALE,DE,DEED,40.418396,-80.005368,Beltzhoover
3186626,0049N00283000000,"3610 DENNY ST, PITTSBURGH, PA 15201",3610, ,,DENNY,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,106,6th Ward - PITTSBURGH,6/21/2024,6/18/2024,389000,19712,120,9,OTHER INVALID SALES INDICATED,DE,DEED,40.463827,-79.963268,Lower Lawrenceville
3186629,0013K00099000000,"2102 ARLINGTON AVE, PITTSBURGH, PA 15210",2102, ,,ARLINGTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,116,16th Ward - PITTSBURGH,6/21/2024,6/13/2024,33000,19712,166,35,CORPORATION TRANSFER,DE,DEED,40.41768,-79.9772,Arlington
3186636,0035L00045000000,"1718 FALLOWFIELD AVE, PITTSBURGH, PA 15216",1718, ,,FALLOWFIELD,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2/5/2025,11/6/2024,77500,19941,311,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.40809,-80.02384,Beechview
3186634,0049P00005000000,"3811 PENN AVE, PITTSBURGH, PA 15201",3811, ,,PENN,AVE,,,PITTSBURGH,PA,15201,47,Pittsburgh,106,6th Ward - PITTSBURGH,1/31/2025,12/20/2024,290000,19937,252,DT,DATE OF TRANSFER (RECORD YR <> SALE YR),DE,DEED,40.46484,-79.961195,Lower Lawrenceville
