_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185148,0043A00010000000,"109 CHURCHILL ST, MC KEES ROCKS, PA 15136",109, ,,CHURCHILL,ST,,,MC KEES ROCKS,PA,15136,39,Sto-Rox,842,McKees Rocks  ,2024-09-05,2024-08-27,5000.0,19791,339.0,36,QUIT CLAIM,QC,QUIT CLAIM,40.47198,-80.06207
3185149,0028A00119000000,"261 DUNSEITH ST, PITTSBURGH, PA 15213",261, ,,DUNSEITH,ST,,,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-12,2024-08-30,250000.0,19798,315.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.442523,-79.965246
3185150,1203F00073000300,"2662 QUAIL RIDGE LN, WEXFORD, PA 15090",2662, ,,QUAIL RIDGE,LN,,,WEXFORD,PA,15090,27,North Allegheny,884,Franklin Park ,2024-09-16,2024-09-11,255000.0,19802,118.0,0,VALID SALE,DE,DEED,40.605605,-80.09325
3185151,0840M00252000000,"108 CAMBRIA HILL DR, TARENTUM, PA 15084",108, ,,CAMBRIA HILL,DR,,,TARENTUM,PA,15084,12,Deer Lakes,907,East Deer  ,2024-09-12,2024-09-10,170000.0,19800,21.0,0,VALID SALE,DE,DEED,40.573223,-79.783752
3185152,0052E00047050200,"540 N NEVILLE ST, UNIT 502, PITTSBURGH, PA 15213",540, ,N,NEVILLE,ST,UNIT,502,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-16,2024-09-11,379000.0,19802,268.0,0,VALID SALE,DE,DEED,40.449031,-79.948671
3185153,0023L00126000000,"0 FEDERAL ST, PITTSBURGH, PA 15212",0, ,,FEDERAL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,122,22nd Ward - PITTSBURGH,2024-09-16,2024-08-28,140000.0,19802,281.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.446884,-80.003812
3185154,0235P00112000000,"2663 WOODSTOCK AVE, PITTSBURGH, PA 15218",2663, ,,WOODSTOCK,AVE,,,PITTSBURGH,PA,15218,9,Woodland Hills,854,Swissvale  ,2024-09-13,2024-09-11,135000.0,19801,162.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.41511,-79.87461
3185155,0718R00345000000,"3965 CENTER AVE, ALLISON PARK, PA 15101",3965, ,,CENTER,AVE,,,ALLISON PARK,PA,15101,20,Hampton Township,914,Hampton  ,2024-09-13,2024-09-06,1.0,19801,230.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.56168,-79.97282
3185156,0562P00414000000,"127 PLEASANT GROVE CT, CLAIRTON, PA 15025",127, ,,PLEASANT GROVE,CT,,,CLAIRTON,PA,15025,44,West Jefferson Hills,873,Pleasant Hills  ,2024-09-24,2024-09-17,102000.0,19810,108.0,16,BUILDING NOT YET ASSESSED,SW,SPECIAL WARRANTY,40.318633,-79.959134
3185157,0318M00144000000,"2204 SUPERIOR ST, BETHEL PARK, PA 15102",2204, ,,SUPERIOR,ST,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-09-20,2024-09-18,325000.0,19808,5.0,0,VALID SALE,DE,DEED,40.34848,-80.03463
